,time,lead1,lead2,lead3
0,2022-02-11 12:20:20.779307,20000000,20000000,20000000
1,2022-02-11 12:20:20.890215,20000000,20000000,20000000
2,2022-02-11 12:20:21.004187,20000000,20000000,20000000
3,2022-02-11 12:20:21.138003,20000000,20000000,20000000
4,2022-02-11 12:20:21.262669,20000000,20000000,20000000
5,2022-02-11 12:20:21.383347,20000000,20000000,20000000
6,2022-02-11 12:20:21.504024,20000000,20000000,20000000
7,2022-02-11 12:20:21.620713,20000000,20000000,20000000
8,2022-02-11 12:20:21.736404,20000000,20000000,20000000
9,2022-02-11 12:20:21.852095,20000000,20000000,20000000
10,2022-02-11 12:20:21.969810,20000000,20000000,20000000
11,2022-02-11 12:20:22.094446,20000000,20000000,20000000
12,2022-02-11 12:20:22.220113,20000000,20000000,20000000
13,2022-02-11 12:20:22.359744,20000000,20000000,20000000
14,2022-02-11 12:20:22.490548,20000000,20000000,20000000
15,2022-02-11 12:20:22.623193,20000000,20000000,20000000
16,2022-02-11 12:20:22.768145,20000000,20000000,20000000
17,2022-02-11 12:20:22.900789,20000000,20000000,20000000
18,2022-02-11 12:20:23.031438,20000000,20000000,20000000
19,2022-02-11 12:20:23.164082,20000000,20000000,20000000
20,2022-02-11 12:20:23.276781,20000000,20000000,20000000
21,2022-02-11 12:20:23.394467,20000000,20000000,20000000
22,2022-02-11 12:20:23.503176,20000000,20000000,20000000
23,2022-02-11 12:20:23.624786,20000000,20000000,20000000
24,2022-02-11 12:20:23.749453,20000000,20000000,20000000
25,2022-02-11 12:20:23.883517,20000000,20000000,20000000
26,2022-02-11 12:20:23.999435,20000000,20000000,20000000
